Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2000-01-03T05:00:00.000000+0000,0.787,0.844,0.763,0.84,535796800.0,,,,0.081,,,,-0.053,,,,,,,,,,,0
2000-01-04T05:00:00.000000+0000,0.812,0.83,0.759,0.769,512377600.0,0.84,,,0.071,0.081,,,0.043,-0.053,,,535796800.0,,,0.84,0.84,0.84,-0.08807751658575802,0
2000-01-05T05:00:00.000000+0000,0.779,0.83,0.773,0.781,778321600.0,0.769,0.84,,0.057,0.071,0.081,,-0.002,0.043,-0.053,,512377600.0,535796800.0,,0.793,0.799,0.802,0.01452708285946886,1
2000-01-06T05:00:00.000000+0000,0.796,0.803,0.713,0.713,767972800.0,0.781,0.769,0.84,0.09,0.057,0.071,0.081,0.083,-0.002,0.043,-0.053,778321600.0,512377600.0,535796800.0,0.786,0.79,0.793,-0.09051385641843215,0
2000-01-07T05:00:00.000000+0000,0.724,0.758,0.717,0.747,460734400.0,0.713,0.781,0.769,0.041,0.09,0.057,0.071,-0.023,0.083,-0.002,0.043,767972800.0,778321600.0,512377600.0,0.747,0.76,0.768,0.046281671319196194,1
2000-01-10T05:00:00.000000+0000,0.766,0.767,0.711,0.734,505064000.0,0.747,0.713,0.781,0.056,0.041,0.09,0.057,0.032,-0.023,0.083,-0.002,460734400.0,767972800.0,778321600.0,0.747,0.755,0.762,-0.01774503628394235,0
2000-01-11T05:00:00.000000+0000,0.72,0.746,0.679,0.696,441548800.0,0.734,0.747,0.713,0.067,0.056,0.041,0.09,0.024,0.032,-0.023,0.083,505064000.0,460734400.0,767972800.0,0.74,0.748,0.755,-0.05250537605390174,0
2000-01-12T05:00:00.000000+0000,0.713,0.717,0.649,0.654,976068800.0,0.696,0.734,0.747,0.068,0.067,0.056,0.041,0.059,0.024,0.032,-0.023,441548800.0,505064000.0,460734400.0,0.718,0.731,0.742,-0.06184638002536329,0
2000-01-13T05:00:00.000000+0000,0.709,0.741,0.694,0.726,1032684800.0,0.654,0.696,0.734,0.047,0.068,0.067,0.056,-0.017,0.059,0.024,0.032,976068800.0,441548800.0,505064000.0,0.686,0.707,0.723,0.10406860045292418,1
2000-01-14T05:00:00.000000+0000,0.751,0.767,0.746,0.754,390376000.0,0.726,0.654,0.696,0.022,0.047,0.068,0.067,-0.003,-0.017,0.059,0.024,1032684800.0,976068800.0,441548800.0,0.706,0.713,0.724,0.0374055617834948,1
