Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2000-01-03T05:00:00.000000+0000,0.09,0.091,0.084,0.089,300912000.0,,,,0.007,,,,0.001,,,,,,,,,,,0
2000-01-04T05:00:00.000000+0000,0.088,0.088,0.083,0.087,300480000.0,0.089,,,0.005,0.007,,,0.001,0.001,,,300912000.0,,,0.089,0.089,0.089,-0.027063579945953806,0
2000-01-05T05:00:00.000000+0000,0.085,0.086,0.083,0.084,188352000.0,0.087,0.089,,0.003,0.005,0.007,,0.0,0.001,0.001,,300480000.0,300912000.0,,0.088,0.088,0.088,-0.03347592263927348,0
2000-01-06T05:00:00.000000+0000,0.084,0.084,0.075,0.079,120480000.0,0.084,0.087,0.089,0.009,0.003,0.005,0.007,0.005,0.0,0.001,0.001,188352000.0,300480000.0,300912000.0,0.086,0.086,0.087,-0.06747913147284468,0
2000-01-07T05:00:00.000000+0000,0.078,0.081,0.077,0.08,71184000.0,0.079,0.084,0.087,0.004,0.009,0.003,0.005,-0.002,0.005,0.0,0.001,120480000.0,188352000.0,300480000.0,0.082,0.083,0.084,0.01656280054141261,1
2000-01-10T05:00:00.000000+0000,0.08,0.086,0.079,0.083,239856000.0,0.08,0.079,0.084,0.007,0.004,0.009,0.003,-0.002,-0.002,0.005,0.0,71184000.0,120480000.0,188352000.0,0.081,0.082,0.083,0.03230157903919065,1
2000-01-11T05:00:00.000000+0000,0.082,0.083,0.079,0.079,148128000.0,0.083,0.08,0.079,0.004,0.007,0.004,0.009,0.003,-0.002,-0.002,0.005,239856000.0,71184000.0,120480000.0,0.082,0.082,0.083,-0.04130598795164721,0
2000-01-12T05:00:00.000000+0000,0.079,0.079,0.076,0.077,123552000.0,0.079,0.083,0.08,0.003,0.004,0.007,0.004,0.002,0.003,-0.002,-0.002,148128000.0,239856000.0,71184000.0,0.081,0.081,0.082,-0.02592925553825369,0
2000-01-13T05:00:00.000000+0000,0.077,0.081,0.076,0.08,132192000.0,0.077,0.079,0.083,0.005,0.003,0.004,0.007,-0.003,0.002,0.003,-0.002,123552000.0,148128000.0,239856000.0,0.079,0.08,0.081,0.040876317259998816,1
2000-01-14T05:00:00.000000+0000,0.082,0.087,0.081,0.084,604560000.0,0.08,0.077,0.079,0.006,0.005,0.003,0.004,-0.002,-0.003,0.002,0.003,132192000.0,123552000.0,148128000.0,0.08,0.08,0.081,0.04212633163091459,1
2000-01-18T05:00:00.000000+0000,0.085,0.088,0.081,0.088,261648000.0,0.084,0.08,0.077,0.007,0.006,0.005,0.003,-0.003,-0.002,-0.003,0.002,604560000.0,132192000.0,123552000.0,0.082,0.081,0.081,0.041797196167066133,1
2000-01-19T05:00:00.000000+0000,0.088,0.088,0.086,0.087,164688000.0,0.088,0.084,0.08,0.002,0.007,0.006,0.005,0.001,-0.003,-0.002,-0.003,261648000.0,604560000.0,132192000.0,0.085,0.083,0.083,-0.00960131824432956,0
2000-01-20T05:00:00.000000+0000,0.087,0.092,0.086,0.086,179568000.0,0.087,0.088,0.084,0.006,0.002,0.007,0.006,0.001,0.001,-0.003,-0.002,164688000.0,261648000.0,604560000.0,0.086,0.084,0.083,-0.0027542790506833665,0
2000-01-21T05:00:00.000000+0000,0.086,0.087,0.083,0.085,544272000.0,0.086,0.087,0.088,0.003,0.006,0.002,0.007,0.001,0.001,0.001,-0.003,179568000.0,164688000.0,261648000.0,0.086,0.085,0.084,-0.011114615080627588,0
2000-01-24T05:00:00.000000+0000,0.088,0.088,0.081,0.082,256944000.0,0.085,0.086,0.087,0.007,0.003,0.006,0.002,0.007,0.001,0.001,0.001,544272000.0,179568000.0,164688000.0,0.086,0.085,0.084,-0.045715342207778197,0
2000-01-25T05:00:00.000000+0000,0.082,0.083,0.078,0.081,237120000.0,0.082,0.085,0.086,0.005,0.007,0.003,0.006,0.001,0.007,0.001,0.001,256944000.0,544272000.0,179568000.0,0.084,0.084,0.084,-0.00881864497057765,0
2000-01-26T05:00:00.000000+0000,0.081,0.083,0.076,0.078,232464000.0,0.081,0.082,0.085,0.007,0.005,0.007,0.003,0.003,0.001,0.007,0.001,237120000.0,256944000.0,544272000.0,0.082,0.083,0.083,-0.04217719393103239,0
2000-01-27T05:00:00.000000+0000,0.078,0.078,0.071,0.074,458208000.0,0.078,0.081,0.082,0.008,0.007,0.005,0.007,0.005,0.003,0.001,0.007,232464000.0,237120000.0,256944000.0,0.08,0.082,0.082,-0.05372435756528592,0
2000-01-28T05:00:00.000000+0000,0.073,0.073,0.069,0.071,194448000.0,0.074,0.078,0.081,0.005,0.008,0.007,0.005,0.001,0.005,0.003,0.001,458208000.0,232464000.0,237120000.0,0.077,0.079,0.081,-0.0296469113634393,0
